iyear,specificity,vicinity,suicide,attacktype1,targtype1,targsubtype1,guncertain1,individual,nperps,nperpcap,claimed,weapsubtype1,weaptype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property
1995,1,0,0,2,3,25,0,0,,,,5,5,9,,,2,,,1
1995,5,0,0,3,3,25,0,0,3,,,15,6,2,,,0,,,1
1995,1,0,0,3,3,23,0,0,,,,12,6,6,,,2,,,1
1995,4,0,0,2,3,25,0,0,,,,2,5,7,,,7,,,1
1995,1,0,0,3,14,78,0,0,,,,16,6,8,,,60,,,1
1995,3,0,0,3,21,107,1,0,,,,16,6,0,,,0,,,1
1995,3,0,0,3,21,107,1,0,,,,16,6,0,,,0,,,1
1995,3,0,0,3,21,107,1,0,,,,16,6,0,,,0,,,1
1995,3,0,0,3,21,107,1,0,,,,16,6,0,,,0,,,1
1995,3,0,0,3,1,6,1,0,,,,16,6,0,,,0,,,1
1995,2,0,0,2,3,25,0,0,9,,,5,5,5,,5,0,,,1
1995,1,0,0,3,4,35,1,0,,,,8,6,3,,,3,,,1
1995,4,0,0,1,2,18,0,0,,,,,13,1,,,0,,,0
1995,4,0,0,1,2,15,0,0,,,,,13,1,,,0,,,0
1995,4,0,0,1,2,15,0,0,,,,5,5,1,,,0,,,0
1995,1,0,0,1,2,15,0,0,,,,5,5,1,,,0,,,0
1995,1,0,0,2,4,36,0,0,,,,5,5,7,,0,37,,0,1
1995,4,0,0,3,2,15,0,0,,,,2,5,0,,,0,,,1
1995,1,1,0,1,22,109,0,0,2,,,5,5,1,,,0,,,0
1995,4,0,0,1,2,15,0,0,12,,,5,5,1,,,0,,,0
1995,4,0,0,1,2,19,0,0,,,,5,5,1,,,0,,,0
1995,1,0,0,3,3,23,0,0,,,,8,6,6,,,0,,,1
1995,1,0,0,2,3,25,1,0,,,,5,5,1,,,0,,,1
1995,1,0,0,6,2,15,0,0,,,,,13,0,,,0,,,0
1995,1,0,0,1,15,85,0,0,3,,,23,9,1,,,0,,,0
1995,1,1,0,9,4,29,0,0,,,,,13,7,,,0,,,1
1995,5,0,0,3,4,,1,0,,,,16,6,27,,,25,,,1
1995,4,0,0,1,2,15,0,0,,,,,13,0,,,0,,,0
1995,4,0,0,7,3,22,0,0,,,,,8,1,,,5,,,1
1995,3,0,0,1,22,109,0,0,,,,5,5,2,,,4,,,0
1995,1,0,0,2,3,23,0,0,,,,5,5,8,,,20,,,1
1995,4,0,0,9,14,83,0,0,,,,,13,6,,,0,,,1
1995,4,0,0,9,14,67,1,0,,,,,13,5,,,0,,,1
1995,1,0,0,2,4,29,0,0,,,,5,5,2,,,5,,,1
1995,4,0,0,9,14,67,0,0,,,,,13,3,,,0,,,1
1995,4,0,0,3,14,67,0,0,,,,16,6,3,,,0,,,1
1995,3,0,0,3,2,14,0,0,,,,16,6,2,,,1,,,1
1995,4,0,0,1,14,83,0,0,,,,,13,1,,,0,,,0
1995,4,0,0,1,14,83,0,0,,,,,13,1,,,0,,,0
1995,1,0,0,2,14,71,0,0,,,,5,5,2,,,18,,,1
1995,1,0,0,3,4,34,1,0,,,,8,6,12,,,0,,,1
1995,1,0,0,3,21,107,0,0,,,,16,6,0,,,0,,,1
1995,1,0,0,3,14,67,0,0,,,,16,6,3,,,0,,,1
1995,1,0,0,3,14,67,0,0,,,,16,6,0,,,2,,,1
1995,3,0,0,3,2,15,0,0,,,,8,6,8,,,2,,,1
1995,1,0,0,2,1,11,0,0,,,,2,5,9,,,0,,,1
1995,1,0,0,8,15,87,0,0,4,,,21,9,0,,,4,,,1
1995,4,0,0,2,2,19,0,0,,,,5,5,10,,,0,,,1
1995,4,0,0,1,14,83,0,0,,,,23,9,1,,,0,,,0
1995,4,0,0,1,14,83,0,0,,,,23,9,1,,,0,,,0
1995,4,0,0,1,14,83,0,0,,,,23,9,1,,,0,,,0
1995,4,0,0,1,14,83,0,0,,,,23,9,1,,,0,,,0
1995,1,0,0,3,2,15,0,0,,,,16,6,2,,,0,,,1
1995,1,0,0,1,17,93,0,0,2,,,5,5,0,,,1,,,0
1995,4,0,0,9,20,,0,0,,,,,13,18,,,0,,,1
1995,1,0,0,3,15,86,0,0,,,,16,6,0,,,0,,,1
1995,1,0,0,3,15,86,0,0,,,,7,6,0,,,6,,,1
1995,4,0,0,9,4,29,0,0,,,,,13,5,,,4,,,1
1995,1,0,0,8,3,25,0,0,,,,21,9,0,,,0,,,0
1995,1,0,0,8,3,25,0,0,,,,21,9,0,,,0,,,0
1995,1,0,0,8,3,25,0,0,,,,21,9,0,,,0,,,0
1995,1,0,0,8,3,25,0,0,,,,21,9,0,,,0,,,0
1995,1,0,0,8,3,25,0,0,,,,21,9,0,,,0,,,0
1995,1,0,0,8,3,25,0,0,,,,21,9,0,,,0,,,0
1995,1,0,0,8,3,25,0,0,,,,21,9,0,,,0,,,0
1995,1,0,0,8,3,25,0,0,,,,21,9,0,,,0,,,0
1995,1,0,0,8,3,25,0,0,,,,21,9,0,,,1,,,0
1995,1,0,0,2,3,23,0,0,,,,,8,0,,,0,,,1
1995,4,0,0,2,14,76,0,0,,,,5,5,6,,,0,,,1
1995,1,0,0,7,2,21,0,0,,,,,8,0,,,0,,,1
1995,1,0,0,3,15,86,0,0,,,,7,6,2,,,2,,,1
1995,1,0,0,8,20,,0,0,,,,21,9,0,,,19,,,0
1995,1,0,0,8,20,,0,0,,,,21,9,0,,,0,,,0
1995,1,0,0,8,20,,0,0,,,,21,9,0,,,0,,,0
1995,1,0,0,8,20,,0,0,,,,21,9,0,,,0,,,0
1995,1,0,0,8,20,,0,0,,,,21,9,0,,,0,,,0
1995,1,0,0,8,20,,0,0,,,,21,9,0,,,0,,,0
1995,1,0,0,8,20,,0,0,,,,21,9,0,,,0,,,0
1995,1,0,0,8,20,,0,0,,,,21,9,0,,,0,,,0
1995,1,0,0,8,20,,0,0,,,,21,9,0,,,0,,,0
1995,1,0,0,8,20,,0,0,,,,21,9,0,,,0,,,0
1995,1,0,0,8,20,,0,0,,,,21,9,0,,,0,,,0
1995,4,0,0,7,14,76,0,0,,,,,8,0,,,0,,,1
1995,4,0,0,7,14,76,0,0,,,,,8,0,,,0,,,1
1995,4,0,0,7,14,76,0,0,,,,,8,0,,,0,,,1
1995,4,0,0,7,14,76,0,0,,,,,8,0,,,0,,,1
1995,4,0,0,7,14,76,0,0,,,,,8,0,,,0,,,1
1995,4,0,0,7,14,76,0,0,,,,,8,0,,,0,,,1
1995,4,0,0,7,14,76,0,0,,,,,8,0,,,0,,,1
1995,4,0,0,7,14,76,0,0,,,,,8,0,,,0,,,1
1995,4,0,0,7,14,76,0,0,,,,,8,0,,,0,,,1
1995,4,0,0,7,14,76,0,0,,,,,8,0,,,0,,,1
1995,4,0,0,7,14,79,0,0,,,,,8,0,,,0,,,1
1995,4,0,0,7,14,79,0,0,,,,,8,0,,,0,,,1
1995,4,0,0,7,14,79,0,0,,,,,8,0,,,0,,,1
